qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
0,sanr-tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain4,/domain4/data/doc/pol_000555,/domain4=0.6332,0,0,0.633246,20200.000000,20209.067640,20209.067640,20217.248472,17.248472,-1,2,-1,32,1,19165,3238,42,1113,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,9.067640,8.180832,20200000000,20209067640,20209067640,20217248472,0,0,0.000000,,domain1
0,sanr-tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain4,/domain4/data/doc/pol_000555,/domain4=0.6332,0,0,0.633246,20400.000000,20408.846576,20408.846576,20408.846576,8.846576,-1,2,-1,32,1,19165,3238,42,1113,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,8.846576,0.000000,20400000000,20408846576,20408846576,20408846576,0,0,0.446511,,domain1
0,sanr-tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain4,/domain4/data/doc/pol_000555,/domain4=0.6332,0,0,0.633246,20600.000000,20608.880368,20608.880368,20608.880368,8.880368,-1,2,-1,32,1,19165,3238,42,1113,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,8.880368,0.000000,20600000000,20608880368,20608880368,20608880368,0,0,0.446511,,domain1
0,sanr-tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain4,/domain4/data/doc/pol_000555,/domain4=0.6332,0,0,0.633246,20800.000000,20809.016200,20809.016200,20809.016200,9.016200,-1,2,-1,32,1,19165,3238,42,1113,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,9.016200,0.000000,20800000000,20809016200,20809016200,20809016200,0,0,0.446511,,domain1
1,sanr-tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571,0,0,0.557136,21000.000000,21008.859400,21008.859400,21016.878264,16.878264,-1,2,-1,32,1,19166,2934,43,1114,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,8.859400,8.018864,21000000000,21008859400,21008859400,21016878264,0,0,0.074690,,domain6
1,sanr-tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571,0,0,0.557136,21200.000000,21209.059192,21209.059192,21209.059192,9.059192,-1,2,-1,32,1,19166,2934,43,1114,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,9.059192,0.000000,21200000000,21209059192,21209059192,21209059192,0,0,0.502267,,domain6
1,sanr-tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571,0,0,0.557136,21400.000000,21408.936816,21408.936816,21408.936816,8.936816,-1,2,-1,32,1,19166,2934,43,1114,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,8.936816,0.000000,21400000000,21408936816,21408936816,21408936816,0,0,0.502267,,domain6
1,sanr-tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain2=0.4563;/domain3=0.4252;/domain5=0.3986,0,0,0.456347,21600.000000,21608.944712,21608.944712,21608.944712,8.944712,-1,2,-1,32,1,19166,4725,43,1114,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,8.944712,0.000000,21600000000,21608944712,21608944712,21608944712,0,0,0.502267,,domain6
2,sanr-tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain2,/domain2/data/doc/sl_000131,/domain2=0.6689;/domain4=0.6445;/domain5=0.6384;/domain3=0.6293,0,0,0.644483,21800.000000,21809.033600,21809.033600,21817.052400,17.052400,-1,2,-1,32,1,19168,4832,41,1112,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,9.033600,8.018800,21800000000,21809033600,21809033600,21817052400,0,0,0.380528,,domain1
2,sanr-tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain2,/domain2/data/doc/sl_000131,/domain2=0.6689;/domain4=0.6445;/domain5=0.6384;/domain3=0.6293,0,0,0.644483,22000.000000,22008.918808,22008.918808,22008.918808,8.918808,-1,2,-1,32,1,19168,4832,41,1112,0,0,1,1,0,DOMAIN_WRONG,churn,tag,redundant,8.918808,0.000000,22000000000,22008918808,22008918808,22008918808,0,0,0.590925,,domain1
