time_slot,nodeId,clusterId,count,selected
4,0,domain1,12,1
4,0,domain6,8,0
4,0,domain3,4,0
5,0,domain6,8,1
5,0,domain7,5,0
5,0,domain0,4,0
5,0,domain3,4,0
5,0,domain5,4,0
6,0,domain5,6,1
6,0,domain0,4,1
6,0,domain1,4,0
6,0,domain3,4,0
6,0,domain4,4,0
6,0,domain7,3,0
7,0,domain1,8,1
7,0,domain0,4,1
7,0,domain2,4,0
7,0,domain7,4,0
7,0,domain3,3,0
7,0,domain5,2,0
8,0,domain6,12,1
8,0,domain3,5,0
8,0,domain5,4,0
8,0,domain7,4,0
9,0,domain4,8,1
9,0,domain0,4,1
9,0,domain2,4,0
9,0,domain5,4,0
9,0,domain6,4,0
9,0,domain7,1,0
10,0,domain2,8,1
10,0,domain3,6,0
10,0,domain0,4,0
10,0,domain5,4,0
10,0,domain7,3,0
11,0,domain7,8,1
11,0,domain6,7,0
11,0,domain0,4,0
11,0,domain2,4,0
11,0,domain3,2,0
