qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=2.90599(0.74122);/domain0=2.33672(0.631977);/domain7=2.3017(0.625752);/domain2=2.05517(0.653157);/domain6=2.0483(0.590227),0,1,0.839392,20200.000000,20208.435720,20208.988648,20217.007512,17.007512,-1,2,-1,5,1,3015,170,44,1113,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.435720,8.018864,20200000000,20208435720,20208988648,20217007512,0,0,0.000000,,
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=2.90599(0.74122);/domain0=2.33672(0.631977);/domain7=2.3017(0.625752);/domain2=2.05517(0.653157);/domain6=2.0483(0.590227),0,1,0.839392,20400.000000,20408.068720,20408.819432,20416.838296,16.838296,-1,2,-1,5,1,3015,170,44,1113,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.068720,8.018864,20400000000,20408068720,20408819432,20416838296,0,0,0.000000,,
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=2.90599(0.74122);/domain0=2.33672(0.631977);/domain7=2.3017(0.625752);/domain2=2.05517(0.653157);/domain6=2.0483(0.590227),0,1,0.839392,20600.000000,20608.012720,20608.032432,20616.051296,16.051296,-1,2,-1,5,1,3015,170,44,1113,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.012720,8.018864,20600000000,20608012720,20608032432,20616051296,0,0,0.000000,,
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=2.90599(0.74122);/domain0=2.33672(0.631977);/domain7=2.3017(0.625752);/domain2=2.05517(0.653157);/domain6=2.0483(0.590227),0,1,0.839392,20800.000000,20808.506720,20808.506720,20816.525584,16.525584,-1,2,-1,5,1,3015,170,44,1113,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.506720,8.018864,20800000000,20808506720,20808506720,20816525584,0,0,0.000000,,
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.58217(0.713879);/domain4=1.41266(0.481744);/domain7=1.39336(0.418719);/domain0=1.34173(0.425269);/domain1=1.17717(0.357503),0,1,0.703099,21000.000000,21008.959736,21008.959736,21016.978632,16.978632,-1,2,-1,5,1,3015,171,45,1114,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.959736,8.018896,21000000000,21008959736,21008959736,21016978632,0,0,0.000000,,
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.58217(0.713879);/domain4=1.41266(0.481744);/domain7=1.39336(0.418719);/domain0=1.34173(0.425269);/domain1=1.17717(0.357503),0,1,0.703099,21200.000000,21208.440736,21208.655448,21216.674344,16.674344,-1,2,-1,5,1,3015,171,45,1114,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.440736,8.018896,21200000000,21208440736,21208655448,21216674344,0,0,0.000000,,
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.58217(0.713879);/domain4=1.41266(0.481744);/domain7=1.39336(0.418719);/domain0=1.34173(0.425269);/domain1=1.17717(0.357503),0,1,0.703099,21400.000000,21408.012736,21408.845592,21416.864488,16.864488,-1,2,-1,5,1,3015,171,45,1114,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.012736,8.018896,21400000000,21408012736,21408845592,21416864488,0,0,0.000000,,
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.58217(0.713879);/domain4=1.41266(0.481744);/domain7=1.39336(0.418719);/domain0=1.34173(0.425269);/domain1=1.17717(0.357503),0,1,0.703099,21600.000000,21608.012736,21608.602592,21616.621488,16.621488,-1,2,-1,5,1,3015,171,45,1114,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.012736,8.018896,21600000000,21608012736,21608602592,21616621488,0,0,0.000000,,
2,iroute,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain2,/domain2/data/doc/sl_000131,/domain1=2.5723(0.670082);/domain7=1.89617(0.522615);/domain2=1.76306(0.575576);/domain6=1.73409(0.502873);/domain5=1.70271(0.479359),0,0,0.668949,21800.000000,21808.521560,21808.790416,21816.809248,16.809248,-1,2,-1,5,1,3015,169,43,1112,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.521560,8.018832,21800000000,21808521560,21808790416,21816809248,0,0,0.000000,,
2,iroute,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain2,/domain2/data/doc/sl_000131,/domain1=2.5723(0.670082);/domain7=1.89617(0.522615);/domain2=1.76306(0.575576);/domain6=1.73409(0.502873);/domain5=1.70271(0.479359),0,0,0.668949,22000.000000,22008.022560,22008.833416,22016.852248,16.852248,-1,2,-1,5,1,3015,169,43,1112,0,0,1,1,0,,link-fail,coreA-domain1,redundant,8.022560,8.018832,22000000000,22008022560,22008833416,22016852248,0,0,0.000000,,
